index,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Platform_Unified
1037,2014.0,Sports,1.37,0.18,0.0,0.18,1.72,82.0,9.0,6.3,101.0,E,Microsoft
1040,2011.0,Shooter,0.41,0.98,0.0,0.32,1.72,78.0,26.0,2.5,5664.0,M,
1041,2012.0,Action,1.06,0.5,0.01,0.14,1.71,88.0,56.0,7.9,815.0,M,Microsoft
1052,2011.0,Shooter,0.83,0.6,0.02,0.24,1.7,95.0,54.0,8.4,937.0,E10+,Sony
1055,2010.0,Simulation,0.59,0.87,0.0,0.23,1.7,74.0,17.0,5.3,77.0,T,
1056,2016.0,Action,0.63,0.76,0.03,0.27,1.7,71.0,94.0,4.5,5096.0,T,Sony
1060,2013.0,Shooter,0.72,0.65,0.04,0.28,1.69,94.0,27.0,8.5,1863.0,M,Sony
1074,2010.0,Platform,0.92,0.6,0.01,0.15,1.68,78.0,58.0,8.5,301.0,E,Nintendo
1078,2010.0,Strategy,0.98,0.52,0.0,0.17,1.68,90.0,70.0,7.9,2280.0,E10+,
1095,2013.0,Strategy,0.83,0.66,0.0,0.18,1.67,86.0,68.0,7.9,1346.0,T,
1097,2015.0,Adventure,0.45,0.9,0.05,0.26,1.66,79.0,103.0,8.2,2161.0,M,Sony
1103,2013.0,Action,1.01,0.5,0.01,0.13,1.66,81.0,42.0,6.5,325.0,M,Microsoft
1105,2012.0,Action,0.9,0.61,0.0,0.15,1.66,79.0,59.0,7.2,114.0,E10+,Microsoft
1107,2016.0,Role-Playing,0.65,0.45,0.34,0.22,1.65,89.0,69.0,8.8,1940.0,M,Sony
1109,2011.0,Platform,0.58,0.21,0.79,0.07,1.65,77.0,49.0,8.5,156.0,E10+,Nintendo
1125,2014.0,Shooter,0.8,0.69,0.01,0.14,1.63,82.0,15.0,7.5,383.0,M,Microsoft
1127,2013.0,Adventure,0.52,0.8,0.06,0.26,1.63,70.0,98.0,8.1,2652.0,M,Sony
1134,2012.0,Shooter,0.86,0.62,0.01,0.13,1.62,86.0,80.0,7.8,869.0,M,Microsoft
1137,2010.0,Simulation,1.02,0.46,0.0,0.13,1.62,74.0,50.0,3.1,69.0,E,Microsoft
1139,2013.0,Action,0.59,0.76,0.01,0.26,1.62,83.0,22.0,7.7,262.0,E10+,Sony
1149,2011.0,Shooter,0.82,0.6,0.03,0.15,1.6,81.0,77.0,6.7,559.0,M,Microsoft
1155,2010.0,Action,0.59,0.83,0.02,0.17,1.6,81.0,74.0,8.0,267.0,M,Microsoft
1168,2012.0,Action,0.88,0.26,0.34,0.1,1.58,75.0,54.0,8.2,267.0,E10+,Nintendo
1172,2011.0,Platform,0.6,0.69,0.02,0.26,1.58,76.0,38.0,8.2,253.0,E,Sony
1174,2015.0,Misc,0.69,0.53,0.24,0.12,1.58,66.0,66.0,6.5,279.0,E,Nintendo
1176,2013.0,Action,1.06,0.35,0.01,0.15,1.57,78.0,69.0,6.8,908.0,M,Microsoft
1179,2013.0,Shooter,0.92,0.5,0.03,0.12,1.57,79.0,81.0,5.4,779.0,M,Microsoft
1180,2014.0,Action,0.9,0.53,0.0,0.14,1.57,78.0,15.0,5.8,712.0,M,Microsoft
1183,2014.0,Sports,1.31,0.09,0.0,0.16,1.57,80.0,19.0,6.4,138.0,E,Microsoft
1190,2012.0,Racing,0.62,0.78,0.01,0.15,1.56,83.0,54.0,8.5,134.0,T,Microsoft
1200,2011.0,Action,0.73,0.67,0.0,0.15,1.55,73.0,14.0,7.0,13.0,E10+,Nintendo
1203,2010.0,Action,0.95,0.46,0.0,0.14,1.55,79.0,58.0,8.0,62.0,E10+,Microsoft
1208,2014.0,Shooter,0.47,0.8,0.03,0.24,1.55,79.0,73.0,8.1,1116.0,M,Sony
1209,2010.0,Action,0.85,0.55,0.0,0.15,1.55,74.0,79.0,7.8,458.0,M,Microsoft
1211,2010.0,Shooter,0.85,0.46,0.02,0.22,1.54,88.0,62.0,8.2,492.0,M,Sony
1219,2011.0,Shooter,0.53,0.66,0.13,0.22,1.53,80.0,80.0,7.4,770.0,T,Sony
1220,2011.0,Misc,0.42,0.65,0.33,0.14,1.53,64.0,28.0,7.8,13.0,E10+,Nintendo
1221,2012.0,Sports,0.18,0.63,0.49,0.24,1.53,82.0,37.0,6.7,146.0,E,Sony
1224,2012.0,Action,0.72,0.52,0.04,0.25,1.53,89.0,35.0,7.9,781.0,M,Sony
1227,2012.0,Shooter,0.64,0.69,0.0,0.19,1.53,74.0,11.0,4.2,1635.0,M,
1231,2014.0,Platform,0.7,0.55,0.16,0.12,1.52,83.0,77.0,8.9,712.0,E,Nintendo
1243,2011.0,Shooter,0.94,0.44,0.0,0.13,1.51,90.0,83.0,8.6,679.0,M,Microsoft
1252,2011.0,Sports,0.02,1.16,0.0,0.33,1.51,84.0,45.0,8.0,172.0,E,
1253,2011.0,Role-Playing,0.6,0.47,0.21,0.23,1.51,85.0,89.0,8.6,984.0,E10+,Sony
1264,2010.0,Action,0.8,0.49,0.0,0.21,1.5,63.0,41.0,6.8,121.0,T,Sony
1270,2010.0,Action,0.75,0.52,0.09,0.12,1.49,79.0,76.0,6.9,216.0,M,Microsoft
1273,2010.0,Action,0.5,0.69,0.04,0.26,1.49,75.0,61.0,7.7,297.0,M,Sony
1274,2015.0,Action,0.88,0.47,0.0,0.14,1.49,85.0,16.0,6.6,694.0,M,Microsoft
1282,2011.0,Shooter,0.64,0.57,0.05,0.22,1.48,83.0,91.0,7.8,543.0,M,Sony
1288,2011.0,Action,0.84,0.51,0.0,0.13,1.48,75.0,43.0,7.8,42.0,E10+,Microsoft
1294,2012.0,Action,0.71,0.43,0.07,0.26,1.47,33.0,58.0,4.8,479.0,M,Sony
1295,2012.0,Shooter,0.93,0.4,0.02,0.12,1.47,79.0,75.0,7.2,334.0,M,Microsoft
1299,2010.0,Puzzle,1.06,0.29,0.0,0.11,1.46,81.0,53.0,8.2,46.0,E10+,Nintendo
1312,2011.0,Shooter,0.83,0.48,0.02,0.12,1.45,70.0,85.0,6.0,399.0,M,Microsoft
1322,2011.0,Role-Playing,0.78,0.45,0.03,0.19,1.45,94.0,62.0,8.5,1081.0,M,Sony
1323,2011.0,Strategy,1.02,0.32,0.0,0.11,1.45,59.0,14.0,6.9,11.0,E,Nintendo
1325,2013.0,Sports,0.89,0.31,0.01,0.23,1.45,85.0,20.0,6.5,368.0,E,Sony
1330,2013.0,Action,0.97,0.34,0.0,0.13,1.44,74.0,38.0,6.5,79.0,E10+,Microsoft
1334,2010.0,Action,0.95,0.37,0.0,0.11,1.43,61.0,59.0,5.7,180.0,T,Microsoft
1337,2010.0,Racing,0.92,0.39,0.0,0.12,1.43,52.0,46.0,5.0,20.0,E,Microsoft
1344,2011.0,Strategy,0.0,1.13,0.0,0.29,1.43,83.0,33.0,7.0,493.0,T,
1348,2012.0,Role-Playing,0.63,0.56,0.03,0.2,1.42,93.0,30.0,5.5,1849.0,M,Sony
1351,2013.0,Simulation,0.48,0.77,0.0,0.17,1.42,64.0,75.0,2.2,4572.0,E10+,
1356,2011.0,Shooter,0.73,0.48,0.0,0.21,1.42,89.0,78.0,8.4,535.0,M,Sony
1358,2013.0,Action,0.45,0.37,0.44,0.16,1.42,80.0,61.0,7.9,746.0,M,Sony
1361,2010.0,Role-Playing,0.09,0.07,1.24,0.02,1.41,77.0,33.0,7.3,15.0,E,Nintendo
1362,2010.0,Fighting,0.8,0.4,0.02,0.18,1.41,85.0,54.0,7.2,48.0,T,Sony
1364,2012.0,Action,0.48,0.62,0.06,0.26,1.41,55.0,22.0,6.0,250.0,M,Sony
1371,2013.0,Role-Playing,0.9,0.39,0.0,0.12,1.41,87.0,42.0,6.6,384.0,M,Microsoft
1386,2014.0,Racing,0.5,0.78,0.01,0.11,1.4,86.0,85.0,8.2,977.0,E10+,Microsoft
1393,2013.0,Fighting,0.97,0.3,0.0,0.11,1.38,81.0,63.0,7.9,362.0,T,Microsoft
1395,2014.0,Platform,0.48,0.53,0.28,0.09,1.38,64.0,71.0,6.1,155.0,E,Nintendo
1400,2013.0,Action,0.83,0.43,0.0,0.13,1.38,60.0,77.0,6.1,1409.0,M,Microsoft
1401,2015.0,Fighting,1.03,0.21,0.0,0.14,1.38,86.0,21.0,7.3,279.0,M,Microsoft
1403,2015.0,Adventure,0.55,0.7,0.02,0.11,1.38,86.0,102.0,8.0,1288.0,M,Microsoft
1405,2011.0,Platform,0.71,0.53,0.0,0.13,1.38,77.0,49.0,8.3,340.0,E,Microsoft
1409,2011.0,Shooter,0.76,0.47,0.02,0.12,1.37,89.0,70.0,8.3,684.0,M,Microsoft
1412,2010.0,Shooter,0.8,0.45,0.0,0.12,1.37,80.0,25.0,5.8,87.0,M,Nintendo
1413,2011.0,Shooter,0.5,0.59,0.07,0.22,1.37,89.0,50.0,8.2,682.0,M,Sony
1417,2010.0,Action,0.43,0.56,0.15,0.21,1.36,80.0,54.0,6.7,178.0,M,Sony
1420,2011.0,Action,0.63,0.57,0.0,0.15,1.36,68.0,65.0,6.0,160.0,T,Microsoft
1422,2014.0,Shooter,0.87,0.34,0.02,0.13,1.36,83.0,21.0,5.9,371.0,M,Microsoft
1428,2012.0,Action,0.51,0.6,0.0,0.25,1.35,76.0,24.0,8.1,99.0,T,Sony
1434,2014.0,Action,0.73,0.5,0.01,0.12,1.35,87.0,12.0,8.0,585.0,M,Microsoft
1437,2013.0,Shooter,0.39,0.87,0.0,0.1,1.35,81.0,52.0,6.0,3517.0,M,
1439,2016.0,Shooter,0.78,0.44,0.0,0.12,1.35,84.0,96.0,6.2,815.0,M,Microsoft
1449,2010.0,Action,0.85,0.27,0.13,0.1,1.34,79.0,71.0,6.5,482.0,T,Nintendo
1450,2011.0,Action,0.71,0.49,0.02,0.12,1.34,84.0,72.0,7.5,533.0,M,Microsoft
1452,2011.0,Fighting,0.81,0.28,0.11,0.14,1.34,84.0,56.0,7.3,147.0,T,Sony
1455,2015.0,Shooter,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,M,Microsoft
1456,2010.0,Racing,0.25,0.75,0.08,0.26,1.34,84.0,46.0,7.8,83.0,E,Sony
1468,2010.0,Action,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,T,Microsoft
1478,2013.0,Platform,0.86,0.34,0.0,0.12,1.32,83.0,37.0,5.7,45.0,E10+,Microsoft
1480,2010.0,Fighting,0.9,0.31,0.0,0.11,1.32,84.0,70.0,6.7,80.0,T,Microsoft
1485,2012.0,Action,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0,M,Sony
1489,2010.0,Sports,0.79,0.41,0.0,0.11,1.32,73.0,32.0,7.5,25.0,E,Microsoft
1496,2011.0,Shooter,0.47,0.58,0.06,0.2,1.31,81.0,37.0,6.2,353.0,M,Sony
1497,2010.0,Action,0.55,0.55,0.0,0.21,1.31,79.0,42.0,8.0,52.0,E10+,Sony
1499,2015.0,Role-Playing,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,M,Microsoft
1509,2015.0,Platform,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,E,Nintendo
1510,2012.0,Action,0.75,0.44,0.0,0.11,1.3,80.0,35.0,6.6,38.0,E10+,Microsoft
1515,2015.0,Action,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,M,Microsoft
1518,2010.0,Role-Playing,0.5,0.16,0.58,0.05,1.29,68.0,25.0,8.2,25.0,E,Nintendo
1523,2011.0,Action,0.46,0.56,0.06,0.21,1.29,85.0,54.0,7.2,406.0,M,Sony
1529,2015.0,Action,0.86,0.3,0.01,0.12,1.29,74.0,26.0,7.8,387.0,M,Microsoft
1530,2015.0,Role-Playing,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,M,
1531,2010.0,Platform,0.69,0.47,0.01,0.12,1.29,79.0,26.0,7.9,66.0,E,Nintendo
1532,2014.0,Action,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,M,Sony
1536,2015.0,Role-Playing,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,M,Microsoft
1548,2014.0,Action,0.69,0.47,0.0,0.11,1.27,69.0,8.0,7.2,26.0,E10+,Microsoft
1550,2014.0,Role-Playing,0.4,0.33,0.4,0.15,1.27,91.0,69.0,8.1,1107.0,T,Sony
1551,2012.0,Action,0.48,0.35,0.36,0.07,1.27,83.0,75.0,8.7,487.0,E10+,Nintendo
1552,2012.0,Role-Playing,0.44,0.29,0.47,0.07,1.27,59.0,46.0,6.3,134.0,E,Nintendo
1559,2014.0,Action,0.45,0.47,0.17,0.18,1.27,75.0,70.0,6.2,1311.0,M,Sony
1564,2011.0,Fighting,0.74,0.4,0.0,0.12,1.27,71.0,52.0,6.3,89.0,T,Microsoft
1568,2012.0,Action,0.72,0.44,0.0,0.11,1.27,78.0,46.0,8.0,110.0,T,Microsoft
1569,2013.0,Role-Playing,0.43,0.36,0.32,0.16,1.27,85.0,50.0,8.5,332.0,T,Sony
1570,2013.0,Racing,0.33,0.69,0.05,0.19,1.27,80.0,6.0,4.9,123.0,E10+,Sony
1571,2010.0,Sports,0.76,0.39,0.0,0.11,1.26,79.0,8.0,8.1,22.0,E,Nintendo
1574,2010.0,Sports,0.0,1.01,0.0,0.25,1.26,85.0,23.0,8.4,77.0,E,
1583,2013.0,Action,0.56,0.41,0.09,0.19,1.25,76.0,26.0,6.3,278.0,M,Sony
1595,2012.0,Platform,0.35,0.61,0.02,0.27,1.25,88.0,71.0,8.6,348.0,E,Sony
1596,2015.0,Role-Playing,0.48,0.35,0.34,0.08,1.25,69.0,44.0,8.8,190.0,E,Nintendo
1613,2012.0,Sports,0.12,0.89,0.0,0.23,1.23,76.0,36.0,6.4,66.0,E,Sony
1615,2016.0,Sports,1.08,0.02,0.0,0.13,1.23,83.0,30.0,5.9,39.0,E,Microsoft
1623,2012.0,Action,0.64,0.49,0.0,0.11,1.23,80.0,49.0,8.5,73.0,E10+,Microsoft
1627,2014.0,Action,0.58,0.42,0.13,0.1,1.23,76.0,81.0,8.3,662.0,T,Nintendo
1634,2010.0,Sports,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,57.0,E,Sony
1635,2011.0,Role-Playing,0.29,0.18,0.67,0.09,1.22,78.0,65.0,8.2,468.0,T,Sony
1656,2011.0,Fighting,0.55,0.44,0.14,0.09,1.21,85.0,69.0,8.1,206.0,T,Nintendo
1658,2015.0,Sports,0.41,0.6,0.0,0.2,1.21,73.0,47.0,7.4,237.0,T,Sony
1664,2010.0,Fighting,0.42,0.46,0.15,0.18,1.21,76.0,34.0,8.3,130.0,T,Sony
1666,2015.0,Shooter,0.72,0.37,0.01,0.11,1.21,71.0,27.0,5.1,299.0,M,Microsoft
1676,2011.0,Racing,0.12,0.74,0.11,0.24,1.2,82.0,36.0,7.1,55.0,E,Sony
1687,2010.0,Sports,0.13,0.69,0.01,0.36,1.2,68.0,6.0,5.4,9.0,E,Sony
1690,2012.0,Action,0.5,0.5,0.0,0.19,1.19,81.0,28.0,7.5,81.0,E10+,Sony
1691,2014.0,Puzzle,0.53,0.38,0.19,0.09,1.19,81.0,78.0,8.6,377.0,E,Nintendo
1694,2015.0,Shooter,0.85,0.23,0.0,0.12,1.19,89.0,11.0,5.2,393.0,T,Microsoft
1710,2013.0,Fighting,0.48,0.5,0.01,0.2,1.18,78.0,37.0,7.9,282.0,T,Sony
1714,2012.0,Misc,0.9,0.19,0.0,0.09,1.18,77.0,23.0,7.7,36.0,E10+,Microsoft
1716,2012.0,Action,0.01,0.23,0.86,0.08,1.18,64.0,33.0,6.5,55.0,T,Sony
1721,2012.0,Action,0.48,0.24,0.36,0.1,1.17,52.0,36.0,4.9,222.0,M,Sony
1725,2011.0,Fighting,0.53,0.45,0.02,0.17,1.17,72.0,28.0,6.9,80.0,T,Sony
1730,2015.0,Action,0.39,0.69,0.0,0.09,1.17,96.0,57.0,7.9,3756.0,M,
1731,2010.0,Role-Playing,0.59,0.45,0.0,0.14,1.17,84.0,39.0,8.6,2754.0,M,
1740,2011.0,Action,0.52,0.46,0.0,0.19,1.16,76.0,36.0,7.3,34.0,E10+,Sony
1752,2011.0,Sports,0.7,0.36,0.0,0.1,1.16,77.0,13.0,7.6,21.0,E,Microsoft
1753,2013.0,Sports,0.41,0.66,0.0,0.09,1.16,88.0,22.0,5.8,328.0,E,Microsoft
1756,2010.0,Shooter,0.54,0.5,0.0,0.12,1.16,45.0,39.0,5.8,89.0,M,Microsoft
1765,2012.0,Action,0.59,0.45,0.01,0.1,1.15,53.0,43.0,5.4,437.0,M,Microsoft
1775,2014.0,Sports,0.39,0.57,0.0,0.19,1.15,62.0,44.0,5.1,164.0,T,Sony
1783,2013.0,Sports,0.49,0.46,0.0,0.19,1.14,74.0,22.0,7.5,121.0,T,Sony
1784,2011.0,Action,0.47,0.26,0.35,0.07,1.14,56.0,36.0,7.1,50.0,E10+,Nintendo
1798,2014.0,Shooter,0.63,0.4,0.0,0.1,1.14,81.0,89.0,7.7,1137.0,M,Microsoft
1801,2016.0,Fighting,0.41,0.45,0.11,0.17,1.14,79.0,60.0,8.2,201.0,T,Sony
1806,2016.0,Action,0.37,0.58,0.0,0.18,1.13,83.0,88.0,7.8,621.0,M,Sony
1807,2011.0,Action,0.61,0.43,0.0,0.09,1.13,67.0,25.0,6.1,31.0,E10+,Nintendo
1812,2014.0,Shooter,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0,M,Sony
1814,2012.0,Role-Playing,0.33,0.37,0.37,0.06,1.13,73.0,51.0,8.6,209.0,E10+,Nintendo
1817,2015.0,Action,0.53,0.33,0.17,0.08,1.12,73.0,73.0,7.6,179.0,E,Nintendo
1822,2010.0,Racing,0.5,0.4,0.06,0.16,1.12,82.0,85.0,8.4,201.0,E,Sony
1824,2011.0,Misc,0.53,0.36,0.09,0.15,1.12,80.0,27.0,8.3,52.0,T,Sony
1827,2011.0,Misc,0.84,0.19,0.01,0.08,1.12,77.0,30.0,8.2,62.0,T,Microsoft
1831,2012.0,Role-Playing,0.36,0.23,0.38,0.15,1.12,93.0,61.0,9.2,1228.0,M,Sony
1833,2010.0,Shooter,0.63,0.36,0.02,0.1,1.12,70.0,91.0,6.0,202.0,M,Microsoft
1835,2011.0,Action,0.72,0.29,0.01,0.09,1.11,79.0,75.0,4.5,2380.0,M,Microsoft
1839,2011.0,Fighting,0.45,0.49,0.0,0.18,1.11,84.0,52.0,7.3,95.0,M,Sony
1846,2013.0,Strategy,0.44,0.32,0.29,0.07,1.11,87.0,79.0,8.7,664.0,E10+,Nintendo
1847,2013.0,Sports,0.64,0.37,0.0,0.1,1.11,75.0,43.0,7.7,100.0,T,Microsoft
1848,2015.0,Fighting,0.3,0.52,0.12,0.16,1.11,69.0,50.0,7.7,598.0,T,Sony
1852,2010.0,Action,0.5,0.35,0.1,0.15,1.1,85.0,62.0,8.0,468.0,M,Sony
1854,2011.0,Strategy,0.9,0.12,0.0,0.08,1.1,81.0,23.0,7.4,29.0,E10+,Nintendo
1866,2013.0,Platform,0.47,0.42,0.13,0.08,1.1,80.0,66.0,8.2,283.0,E10+,Nintendo
1872,2013.0,Sports,1.01,0.0,0.0,0.08,1.09,77.0,18.0,5.8,74.0,E,Microsoft
1880,2015.0,Racing,0.2,0.7,0.02,0.16,1.09,83.0,37.0,6.6,363.0,E,Sony
1884,2010.0,Racing,0.74,0.25,0.0,0.09,1.09,47.0,52.0,2.1,98.0,E,Microsoft
1887,2010.0,Fighting,0.44,0.46,0.01,0.18,1.09,74.0,42.0,6.9,41.0,T,Sony
1889,2012.0,Action,1.02,0.0,0.0,0.07,1.09,76.0,20.0,5.5,65.0,E,Microsoft
1899,2010.0,Action,0.64,0.28,0.04,0.13,1.08,75.0,69.0,7.5,265.0,M,Sony
1904,2016.0,Racing,0.42,0.58,0.0,0.08,1.08,91.0,90.0,7.4,594.0,E,Microsoft
1911,2014.0,Shooter,0.51,0.47,0.0,0.09,1.08,69.0,6.0,7.3,121.0,E10+,Microsoft
1916,2010.0,Sports,0.26,0.69,0.0,0.12,1.07,73.0,17.0,7.3,8.0,E,Nintendo
1934,2013.0,Role-Playing,0.31,0.2,0.45,0.11,1.07,66.0,62.0,5.9,552.0,T,Sony
1948,2016.0,Shooter,0.63,0.33,0.0,0.1,1.06,91.0,18.0,5.6,668.0,T,Microsoft
1951,2010.0,Shooter,0.55,0.4,0.0,0.11,1.06,64.0,64.0,7.3,247.0,M,Microsoft
1952,2012.0,Action,0.36,0.49,0.0,0.2,1.06,77.0,21.0,6.3,18.0,E10+,Sony
1957,2010.0,Action,0.67,0.28,0.01,0.1,1.06,83.0,81.0,7.9,292.0,M,Microsoft
1961,2011.0,Racing,0.27,0.57,0.01,0.2,1.06,87.0,52.0,7.1,122.0,T,Sony
1975,2012.0,Action,0.37,0.49,0.0,0.19,1.05,82.0,16.0,8.3,85.0,E10+,Sony
1978,2014.0,Sports,0.46,0.41,0.01,0.17,1.05,70.0,57.0,6.1,279.0,T,Sony
1987,2012.0,Action,0.31,0.49,0.05,0.19,1.04,83.0,40.0,7.7,645.0,M,Sony
1992,2010.0,Shooter,0.41,0.46,0.0,0.18,1.04,65.0,57.0,7.3,168.0,M,Sony
2000,2012.0,Racing,0.12,0.63,0.05,0.23,1.03,81.0,23.0,7.5,54.0,E,Sony
2001,2011.0,Shooter,0.59,0.35,0.01,0.09,1.03,68.0,85.0,5.8,404.0,T,Microsoft
2004,2012.0,Action,0.55,0.32,0.03,0.13,1.03,86.0,30.0,7.4,92.0,T,Sony
2005,2011.0,Action,0.54,0.39,0.0,0.09,1.03,73.0,54.0,7.0,31.0,E10+,Microsoft
2012,2016.0,Action,0.56,0.3,0.08,0.09,1.03,86.0,74.0,8.4,329.0,T,Nintendo
2024,2016.0,Sports,0.86,0.06,0.0,0.11,1.02,90.0,17.0,6.2,91.0,E,Microsoft
2029,2011.0,Action,0.64,0.28,0.0,0.1,1.02,61.0,11.0,6.0,5.0,E10+,Nintendo
2030,2010.0,Misc,0.25,0.65,0.0,0.12,1.02,48.0,6.0,3.3,4.0,E10+,Nintendo
2033,2011.0,Shooter,0.61,0.32,0.01,0.08,1.02,84.0,83.0,7.6,439.0,M,Microsoft
2034,2013.0,Platform,0.43,0.42,0.0,0.17,1.02,83.0,31.0,5.3,33.0,E10+,Sony
2036,2011.0,Platform,0.44,0.47,0.01,0.09,1.02,66.0,29.0,6.9,108.0,E,Nintendo
2039,2012.0,Role-Playing,0.56,0.05,0.37,0.04,1.02,80.0,40.0,8.2,89.0,E,Nintendo
2050,2014.0,Action,0.58,0.34,0.0,0.09,1.01,72.0,32.0,7.3,318.0,M,Microsoft
2051,2014.0,Platform,0.22,0.64,0.0,0.16,1.01,90.0,16.0,8.5,525.0,E10+,Sony
2055,2012.0,Action,0.52,0.36,0.05,0.08,1.01,77.0,70.0,7.7,758.0,M,Nintendo
2056,2016.0,Fighting,0.5,0.26,0.17,0.08,1.01,76.0,74.0,8.0,273.0,E10+,Nintendo
2060,2010.0,Action,0.41,0.35,0.03,0.21,1.0,86.0,73.0,8.4,255.0,M,Sony
2074,2011.0,Platform,0.33,0.49,0.01,0.17,1.0,87.0,43.0,8.4,238.0,E10+,Sony
2077,2013.0,Misc,0.72,0.17,0.0,0.1,0.99,79.0,16.0,7.8,33.0,E10+,Microsoft
2078,2011.0,Sports,0.94,0.0,0.0,0.06,0.99,82.0,25.0,6.6,49.0,E,Microsoft
2080,2012.0,Action,0.72,0.2,0.0,0.08,0.99,85.0,60.0,7.6,88.0,T,Microsoft
2081,2011.0,Platform,0.48,0.06,0.41,0.05,0.99,83.0,46.0,8.6,55.0,E,Nintendo
2091,2011.0,Role-Playing,0.64,0.27,0.0,0.09,0.99,89.0,66.0,8.4,1106.0,M,Microsoft
2099,2010.0,Role-Playing,0.28,0.18,0.45,0.07,0.98,77.0,55.0,8.2,336.0,T,Sony
2107,2013.0,Action,0.64,0.26,0.0,0.08,0.98,78.0,68.0,6.4,694.0,M,Microsoft
2110,2013.0,Action,0.57,0.32,0.01,0.08,0.98,82.0,58.0,7.5,383.0,M,Microsoft
2119,2013.0,Action,0.49,0.32,0.0,0.16,0.97,75.0,21.0,5.9,47.0,E10+,Sony
2126,2012.0,Role-Playing,0.4,0.44,0.0,0.12,0.97,89.0,23.0,5.5,5926.0,M,
2130,2011.0,Action,0.53,0.34,0.0,0.1,0.97,78.0,35.0,5.2,53.0,E10+,Microsoft
2136,2012.0,Shooter,0.22,0.62,0.0,0.12,0.96,88.0,43.0,8.2,3183.0,M,
2137,2015.0,Shooter,0.36,0.41,0.05,0.15,0.96,76.0,46.0,4.3,894.0,M,Sony
2138,2013.0,Action,0.44,0.36,0.0,0.16,0.96,76.0,37.0,6.4,522.0,M,Sony
2145,2012.0,Simulation,0.0,0.81,0.0,0.15,0.96,65.0,12.0,7.5,111.0,E,
2146,2010.0,Misc,0.47,0.4,0.0,0.09,0.96,77.0,26.0,7.5,17.0,T,Nintendo
2151,2011.0,Action,0.25,0.56,0.0,0.14,0.96,88.0,76.0,8.5,4378.0,M,
2152,2012.0,Shooter,0.38,0.38,0.06,0.14,0.96,70.0,21.0,6.9,92.0,M,Sony
2155,2012.0,Sports,0.26,0.29,0.34,0.05,0.95,69.0,58.0,6.9,110.0,E,Nintendo
2156,2011.0,Simulation,0.4,0.36,0.13,0.07,0.95,71.0,64.0,7.4,88.0,E,Nintendo
2164,2012.0,Action,0.5,0.27,0.04,0.15,0.95,74.0,69.0,7.3,540.0,T,Sony
2168,2013.0,Action,0.03,0.41,0.51,0.0,0.95,78.0,39.0,4.1,303.0,E,Sony
2171,2012.0,Shooter,0.41,0.32,0.09,0.12,0.95,79.0,18.0,6.9,156.0,M,Sony
2173,2011.0,Racing,0.24,0.52,0.01,0.18,0.95,79.0,53.0,7.7,114.0,T,Sony
2177,2010.0,Shooter,0.62,0.24,0.0,0.09,0.95,73.0,79.0,7.3,126.0,M,Microsoft
2181,2010.0,Shooter,0.29,0.33,0.2,0.13,0.95,68.0,56.0,6.9,62.0,T,Sony
2182,2011.0,Action,0.36,0.43,0.0,0.16,0.95,73.0,42.0,7.1,34.0,E10+,Sony
2188,2011.0,Shooter,0.48,0.27,0.13,0.06,0.94,81.0,65.0,8.2,231.0,E10+,Nintendo
2192,2013.0,Action,0.34,0.39,0.06,0.15,0.94,84.0,27.0,7.7,314.0,M,Sony
2194,2011.0,Action,0.39,0.39,0.0,0.16,0.94,77.0,18.0,4.8,42.0,E10+,Sony
2209,2013.0,Fighting,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,T,Sony
2210,2016.0,Sports,0.29,0.49,0.0,0.15,0.93,79.0,38.0,6.2,157.0,T,Sony
2214,2014.0,Role-Playing,0.56,0.28,0.0,0.09,0.93,85.0,28.0,6.9,703.0,M,Microsoft
2219,2016.0,Action,0.28,0.14,0.47,0.04,0.93,81.0,71.0,8.7,87.0,E,Nintendo
2229,2010.0,Role-Playing,0.53,0.09,0.27,0.05,0.93,66.0,58.0,7.0,76.0,E10+,Nintendo
2232,2014.0,Action,0.37,0.4,0.0,0.15,0.93,73.0,43.0,7.1,75.0,E10+,Sony
2233,2011.0,Misc,0.87,0.0,0.0,0.06,0.93,39.0,5.0,5.6,8.0,E10+,Microsoft
2236,2014.0,Action,0.33,0.43,0.02,0.15,0.93,80.0,5.0,6.8,12.0,E10+,Sony
2237,2012.0,Action,0.28,0.53,0.0,0.12,0.93,80.0,21.0,6.2,1489.0,M,
2238,2012.0,Shooter,0.42,0.41,0.0,0.1,0.93,89.0,38.0,8.2,2482.0,M,
