index,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Platform_Unified
220,2010.0,Action,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,M,Sony
224,2011.0,Action,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,T,Microsoft
231,2015.0,Action,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,T,Sony
235,2013.0,Action,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,E,Nintendo
236,2011.0,Racing,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,E,Microsoft
242,2015.0,Shooter,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,T,Microsoft
245,2016.0,Shooter,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,M,Sony
247,2015.0,Shooter,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,E10+,Nintendo
248,2012.0,Misc,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,E10+,Nintendo
254,2010.0,Misc,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,E10+,Nintendo
260,2013.0,Platform,2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607.0,E,Nintendo
269,2011.0,Action,1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613.0,M,Sony
270,2015.0,Role-Playing,2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749.0,M,Microsoft
271,2013.0,Sports,0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435.0,E,Microsoft
277,2011.0,Action,2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564.0,M,Microsoft
289,2016.0,Shooter,1.1,2.15,0.21,0.61,4.08,88.0,31.0,8.4,809.0,M,Sony
292,2010.0,Role-Playing,2.66,1.03,0.04,0.33,4.05,84.0,81.0,8.1,769.0,M,Microsoft
295,2014.0,Action,1.4,1.9,0.11,0.64,4.05,80.0,80.0,6.3,2996.0,M,Sony
298,2014.0,Shooter,1.13,2.18,0.1,0.63,4.04,85.0,83.0,7.7,1653.0,M,Sony
303,2015.0,Role-Playing,1.02,2.13,0.23,0.59,3.97,92.0,79.0,9.2,10179.0,M,Sony
304,2014.0,Action,1.19,2.07,0.08,0.62,3.96,70.0,40.0,4.9,2050.0,M,Sony
305,2015.0,Action,1.53,1.69,0.1,0.64,3.95,87.0,89.0,7.6,2679.0,M,Sony
306,2011.0,Action,2.03,1.16,0.37,0.38,3.95,93.0,81.0,8.0,1958.0,E10+,Nintendo
312,2014.0,Role-Playing,0.68,0.48,2.62,0.11,3.89,86.0,80.0,8.7,348.0,T,Nintendo
313,2011.0,Role-Playing,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0,M,
314,2015.0,Sports,2.49,0.66,0.03,0.69,3.88,87.0,51.0,6.7,364.0,E10+,Sony
320,2010.0,Sports,2.13,1.12,0.1,0.5,3.84,76.0,64.0,7.9,104.0,E10+,Sony
323,2013.0,Shooter,1.78,1.43,0.05,0.57,3.83,78.0,49.0,3.7,1564.0,M,Sony
325,2016.0,Shooter,1.35,1.7,0.15,0.6,3.8,80.0,64.0,7.0,2219.0,M,Sony
337,2013.0,Action,1.33,1.68,0.13,0.57,3.71,88.0,36.0,8.1,840.0,M,Sony
357,2013.0,Shooter,1.35,1.55,0.17,0.51,3.59,85.0,18.0,6.9,1580.0,M,Sony
369,2010.0,Sports,0.71,2.39,0.02,0.4,3.52,88.0,66.0,7.5,155.0,E,Microsoft
373,2014.0,Action,2.27,0.9,0.0,0.33,3.5,72.0,59.0,4.1,1005.0,M,Microsoft
376,2010.0,Action,2.85,0.38,0.03,0.24,3.49,89.0,81.0,8.3,693.0,M,Microsoft
378,2013.0,Shooter,1.3,1.42,0.27,0.5,3.49,80.0,14.0,5.8,579.0,M,Sony
380,2013.0,Shooter,2.15,1.01,0.02,0.31,3.48,79.0,21.0,5.6,542.0,M,Microsoft
381,2010.0,Shooter,2.1,1.01,0.04,0.32,3.47,88.0,75.0,8.6,869.0,M,Microsoft
390,2015.0,Action,1.09,1.36,0.49,0.48,3.41,93.0,86.0,8.2,3943.0,M,Sony
394,2011.0,Platform,1.83,1.05,0.06,0.46,3.39,91.0,86.0,8.4,657.0,E,Sony
396,2015.0,Action,0.81,1.99,0.07,0.52,3.39,76.0,86.0,6.8,1319.0,M,Sony
398,2014.0,Shooter,2.14,0.92,0.0,0.31,3.37,75.0,11.0,5.5,1735.0,T,Microsoft
401,2012.0,Shooter,0.88,1.7,0.1,0.67,3.35,90.0,32.0,8.5,1041.0,M,Sony
410,2013.0,Action,1.9,1.11,0.01,0.29,3.3,86.0,35.0,7.9,701.0,M,Microsoft
413,2015.0,Shooter,2.61,0.33,0.0,0.34,3.28,82.0,74.0,7.5,563.0,M,Microsoft
417,2015.0,Sports,0.89,2.12,0.0,0.24,3.25,84.0,45.0,4.4,459.0,E,Microsoft
420,2015.0,Sports,2.34,0.3,0.0,0.6,3.24,83.0,37.0,5.9,180.0,E,Sony
421,2013.0,Racing,0.72,1.67,0.4,0.44,3.23,81.0,81.0,7.7,758.0,E,Sony
422,2014.0,Shooter,1.91,1.0,0.03,0.29,3.23,85.0,69.0,7.2,1267.0,M,Microsoft
424,2015.0,Platform,1.18,0.89,0.94,0.2,3.21,88.0,85.0,8.7,691.0,E,Nintendo
432,2010.0,Misc,2.15,0.76,0.01,0.26,3.17,82.0,63.0,7.6,85.0,T,Microsoft
433,2011.0,Adventure,1.27,1.29,0.12,0.49,3.17,89.0,78.0,7.7,1010.0,M,Sony
439,2012.0,Misc,1.06,1.09,0.76,0.22,3.13,73.0,45.0,6.8,155.0,E,Nintendo
445,2010.0,Role-Playing,1.52,1.03,0.1,0.46,3.11,82.0,57.0,7.8,492.0,M,Sony
448,2013.0,Action,1.4,1.01,0.46,0.23,3.1,91.0,81.0,8.9,1057.0,E,Nintendo
449,2012.0,Shooter,0.88,0.94,0.88,0.4,3.1,74.0,34.0,5.4,1304.0,M,Sony
450,2010.0,Role-Playing,1.99,0.81,0.03,0.27,3.1,96.0,98.0,8.9,3143.0,M,Microsoft
457,2015.0,Simulation,0.51,1.02,1.4,0.12,3.05,66.0,60.0,6.9,106.0,E,Nintendo
458,2014.0,Simulation,1.0,1.82,0.0,0.23,3.05,70.0,74.0,3.9,2057.0,T,
459,2012.0,Shooter,1.89,0.88,0.04,0.25,3.05,89.0,59.0,8.2,892.0,M,Microsoft
